intervention_id,plant,line,equipment_tag,reported_at,technician_id,alert_code,raw_text
INT-2026-0201,Plant A,Hot Rolling 1,HRM-01,2026-02-02T08:30:00,T-114,ALM-2201,"main cyl replaced at weekend shutdwn finally. commisioned + tested, no leaks. 240 min planned work. rod was badly scored as expected"
INT-2026-0202,Plant B,Blast Furnace,BF-01,2026-02-03T17:15:00,T-311,ALM-4102,"stave cooling low flow, strainer blocked, rubber again. cleaned. 60min. i opened the expansion joint upstream and the liner is definately shredding. reported to eng, this is the source"
INT-2026-0203,Plant A,Cold Mill,CM-02,2026-02-05T01:20:00,T-207,ALM-2260,"tension load cell failed completly now. replaced. 90min. shouldve been done at outage like i said in jan"
INT-2026-0204,Plant A,Sinter 2,SNT-03,2026-02-06T14:45:00,T-089,ALM-3305,"belt re-lagged during window. tensioned + tracked. 300min planned. resolved the slip issue from jan"
INT-2026-0205,Plant C,Continuous Caster,CC-02,2026-02-08T22:10:00,T-402,ALM-5240,"segment roll bearing noisy. checked autolube, another crimped line same spot as last time. changed hose routing + re-greased. 95min. the routing thru the frame is a design problem, all segments are like this"
INT-2026-0206,Plant A,Hot Rolling 1,HRM-02,2026-02-09T11:00:00,T-114,ALM-2215,"work roll chock not clamping. hyd clamp solenoid coil burnt. swapped coil. 40min"
INT-2026-0207,Plant B,Blast Furnace,BF-02,2026-02-11T05:30:00,T-311,ALM-4110,"TC tuyere 3 reading low then open circuit. replaced. 30 min. thats 4 TCs this qtr, all on the south side. maybe the cable tray runs too close to the hot face there"
INT-2026-0208,Plant A,Cold Mill,CM-01,2026-02-12T19:35:00,T-207,ALM-2201,"HPU pump 2 coupling gone AGAIN. 3rd in 6 mo + this one. did laser alignment this time, base plate IS soft, found 2 loose holding down bolts and the epoxy chocking is broken up. temp fix, torqued + new element. 120min. NOT PROPERLY RESOLVED needs re-chocking"
INT-2026-0209,Plant A,Sinter 2,SNT-04,2026-02-14T03:00:00,T-089,ALM-3312,"gearbox oil cooler confirmed leaking, water in oil. isolated cooler, running on aux for now. 80min. cooler on order. NOT RESOLVED"
INT-2026-0210,Plant C,Continuous Caster,CC-01,2026-02-16T13:25:00,T-402,ALM-5215,"mould level control unstable, eddy current sensor coated in slag. cleaned sensor face. 35min"
INT-2026-0211,Plant A,Hot Rolling 1,HRM-03,2026-02-17T09:10:00,T-114,ALM-2230,"descale nozzles blocked again 5 of them. rodded. 50 min. filter interval was NOT changed, still 4 weeks. this is why"
INT-2026-0212,Plant B,Blast Furnace,BF-01,2026-02-19T23:40:00,T-311,ALM-4130,"gas cleaning plant dp high, scrubber nozzle partly blocked. cleaned 2 nozzles. 75min"
INT-2026-0213,Plant A,Cold Mill,CM-02,2026-02-20T16:05:00,T-207,ALM-2270,"strip break detector giving false trips. photocell dirty + misaligned. cleaned + realigned. 25min"
INT-2026-0214,Plant C,Continuous Caster,CC-02,2026-02-22T04:50:00,T-402,ALM-5240,"segment 7 roll bearing failed, seized. roll change. 190min. autolube line crimped, same frame pass-through issue. THIS IS THE 3RD ONE. needs the routing redesign, im logging it again"
INT-2026-0215,Plant A,Sinter 2,SNT-04,2026-02-24T12:30:00,T-089,ALM-3312,"new gearbox oil cooler fitted. flushed system, new oil, oil analysis clean. 210min planned. resolved"
INT-2026-0216,Plant A,Hot Rolling 1,HRM-02,2026-02-25T20:15:00,T-114,ALM-2210,"drive cabinet overtemp again. 2nd fan failed, the one i didnt change in jan. replaced both remaining fans. 70min. these fans are all same age, suggest replace as a set on the other cabinets too"
INT-2026-0217,Plant B,Blast Furnace,BF-02,2026-02-27T07:55:00,T-311,ALM-4102,"stave cooling low flow. strainer. rubber bits. cleaned. 55min. expansion joint STILL not replaced, eng have the report since 3rd feb"
INT-2026-0218,Plant A,Cold Mill,CM-01,2026-02-28T15:00:00,T-207,ALM-2201,"hyd oil temp high, cooler water side scaled again. flushed. 65min. 2nd time in 5 weeks, water treatment issue not addressed"
INT-2026-0301,Plant C,Continuous Caster,CC-01,2026-03-02T02:40:00,T-402,ALM-5201,"oscillator vibr high, foundation. re-grout done at weekend actually so this time it was a loose drive coupling. retorqued. 60min"
INT-2026-0302,Plant A,Hot Rolling 1,HRM-01,2026-03-03T10:20:00,T-114,ALM-2215,"roll chock clamp slow. hyd accumulator pre-charge low, recharged N2. 45min"
INT-2026-0303,Plant B,Blast Furnace,BF-01,2026-03-05T18:30:00,T-311,ALM-4102,"expansion joint liner finally replaced in shutdown. also cleaned all stave strainers. 320min planned. should stop the repeat strainer blockages"
INT-2026-0304,Plant A,Sinter 2,SNT-03,2026-03-06T23:15:00,T-089,ALM-3320,"sinter cooler fan bearing noise, grease gun used, noise reduced but still there. temp fix. 40min. NOT RESOLVED, bearing needs change, WO raised"
INT-2026-0305,Plant A,Cold Mill,CM-01,2026-03-08T06:45:00,T-207,ALM-2201,"HPU base plate re-chocked in shutdown, laser aligned. 280 min planned. pump 2 coupling issue should be finished now"
INT-2026-0306,Plant C,Continuous Caster,CC-02,2026-03-10T14:00:00,T-402,ALM-5215,"mould level eddy current sensor coated again. cleaned. 30min. cleaning interval should be weekly not monthly"
INT-2026-0307,Plant A,Hot Rolling 1,HRM-03,2026-03-12T08:05:00,T-114,ALM-2230,"descale nozzle blocked x2. rodded. 35min. filter interval finally changed to 2 wks from this week"
INT-2026-0308,Plant B,Blast Furnace,BF-02,2026-03-13T21:20:00,T-311,ALM-4110,"TC tuyere 11 open ckt, south side again. replaced + rerouted cable away from hot face as trial. 55min. lets see if this one lasts"
INT-2026-0309,Plant A,Sinter 2,SNT-03,2026-03-15T11:40:00,T-089,ALM-3320,"sinter cooler fan brg replaced. 160min. resolved"
INT-2026-0310,Plant A,Cold Mill,CM-02,2026-03-17T03:30:00,T-207,ALM-2270,"strip break detector false trip. photocell dirty. cleaned. 20min. 2nd time, the air purge on the photocell housing is blocked, thats the real cause. cleared purge line too"
INT-2026-0311,Plant C,Continuous Caster,CC-02,2026-03-19T16:50:00,T-402,ALM-5240,"segment autolube routing redesign fitted on seg 5,6,7. no more crimping. 240min planned. hopefully end of the bearing failures"
INT-2026-0312,Plant A,Hot Rolling 1,HRM-02,2026-03-21T09:35:00,T-114,ALM-2210,"drive cabinet temp OK now with new fans. this call was actually a false alarm, RTD loose in terminal. retightened. 25min"
INT-2026-0313,Plant B,Blast Furnace,BF-01,2026-03-23T05:10:00,T-311,ALM-4125,"stockline probe binding. cleaned guide + lubed. 45min. 2nd time on BF-01, the guide needs a proper seal to keep dust out"
INT-2026-0314,Plant A,Cold Mill,CM-01,2026-03-25T13:15:00,T-207,ALM-2280,"emulsion pump flow low, suction filter blocked. changed filter element. 30min"
INT-2026-0315,Plant A,Sinter 2,SNT-04,2026-03-27T19:00:00,T-089,ALM-3305,"conveyor belt tracking off, snub pulley adjusted. 45min. this is the belt we vulcanized in jan, the repair patch is lifting on one edge"
INT-2026-0316,Plant C,Continuous Caster,CC-01,2026-03-29T01:55:00,T-402,ALM-5250,"tundish car drive not moving, limit switch failed. replaced LS. 50min"
INT-2026-0317,Plant A,Hot Rolling 1,HRM-01,2026-03-30T12:25:00,T-114,ALM-2201,"small weep on main cyl gland - new cyl. nipped up the gland nut, watching it. 20min. probably just bedding in"
